Tanggal,Jenis Produk,Jumlah Order,Harga,Total
24/08/2023,Dupleks310,2000,1700,3400000
24/08/2023,Dupleks310,3500,1700,5950000
24/08/2023,Dupleks310,3500,1700,5950000
24/08/2023,CraftLaminasi290,6000,950,5700000
24/08/2023,HVS,20000,250,5000000
24/08/2023,Ivory300,1000,4200,4200000
24/08/2023,Ivory300,500,6550,3275000
24/08/2023,Ivory300,500,6550,3275000
24/08/2023,Ivory300,500,5500,2750000
27/08/2023,CraftLaminasi290,1000,1350,1350000
27/08/2023,Dupleks310,1000,2000,2000000
27/08/2023,FoodpakMatte245,1000,1500,1500000
28/08/2023,Dupleks310,2000,1450,2900000
28/08/2023,CraftLaminasi290,2000,900,1800000
28/08/2023,CraftLaminasi290,1500,800,1200000
28/08/2023,CraftLaminasi290,1500,875,1312500
28/08/2023,CraftLaminasi290,1500,850,1275000
28/08/2023,Ivory230,1000,1700,1700000
28/08/2023,Ivory230,1000,2000,2000000
28/08/2023,Dupleks310,1000,1700,1700000
29/08/2023,Dupleks310,3000,1800,5400000
29/08/2023,Craf270,1000,2000,2000000
29/08/2023,Ivory230,1000,1000,1000000
29/08/2023,GreaseProof,5000,250,1250000
30/08/2023,Dupleks310IK,500,1500,750000
31/08/2023,Dupleks350IK,1500,1800,2700000
31/08/2023,Ivory300,1000,3400,3400000
31/08/2023,Ivory350,10000,900,9000000
31/08/2023,Ivory350,2000,900,1800000
31/08/2023,FoodpakMatte245,1000,1500,1500000
31/08/2023,GreaseProof,1000,400,400000
31/08/2023,Dupleks310P,1000,2250,2250000
31/08/2023,Dupleks350P,1000,2250,2250000
31/08/2023,Greseproof40,2000,250,500000
1/9/2023,Dupleks310,1000,1700,1700000
2/9/2023,Kinstruk250,2000,1150,2300000
2/9/2023,KertasStiker,5,15000,75000
3/9/2023,Ivory350,10000,900,9000000
3/9/2023,Ivory350,4000,900,3600000
3/9/2023,Ivory350,1000,2600,2600000
3/9/2023,CraftLaminasi290,4000,1500,6000000
5/9/2023,CraftLaminasi290,1000,1200,1200000
6/9/2023,GreaseProof,1000,300,300000
6/9/2023,Dupleks310,1000,1500,1500000
6/9/2023,GreaseProof,1000,300,300000
6/9/2023,CraftLaminasi290,1000,950,950000
7/9/2023,Dupleks310,2000,1600,3200000
8/9/2023,CraftLaminasi290,1000,950,950000
8/9/2023,Dupleks310,2000,1900,3800000
8/9/2023,Ivory250,1000,1900,1900000
8/9/2023,Foodpak245Matte,4000,1500,6000000
8/9/2023,Ivory230,1000,1350,1350000
8/9/2023,Dupleks310,1000,1900,1900000
9/9/2023,Ivory230,1000,1600,1600000
9/9/2023,Ivory230,1000,1700,1700000
9/9/2023,Ivory250,1000,1550,1550000
9/9/2023,Foodpak260Matte,4500,1000,4500000
9/9/2023,Dupleks310,1000,1400,1400000
12/9/2023,Dupleks310,1000,1700,1700000
12/9/2023,Dupleks310,1000,1500,1500000
12/9/2023,Dupleks310,1000,1700,1700000
13/09/2023,GreaseProof,1000,300,300000
13/09/2023,GreaseProof,1000,400,400000
13/09/2023,Ivory250,1000,1600,1600000
14/09/2023,Dupleks310,1000,2000,2000000
15/09/2023,Dupleks350,500,3000,1500000
16/09/2023,Foodpak245Matte,4000,1500,6000000
16/09/2023,Ivory230,1000,1350,1350000
16/09/2023,Ivory230,3500,800,2800000
17/09/2023,FoodpakMatte245,2000,1000,2000000
17/09/2023,Ivory230,1000,950,950000
17/09/2023,Foodpak245,1000,1000,1000000
19/09/2023,Dupleks350,500,2650,1325000
19/09/2023,Dupleks350,500,2600,1300000
19/09/2023,Dupleks350,500,2500,1250000
19/09/2023,Dupleks350,500,2500,1250000
19/09/2023,Dupleks310,1000,1900,1900000
19/09/2023,NCR,50,12000,600000
20/09/2023,Ivory230,1000,945,945000
20/09/2023,Ivory230,1000,945,945000
20/09/2023,Ivory250,1000,700,700000
20/09/2023,Dupleks350,2000,1600,3200000
20/09/2023,Dupleks270,5000,1400,7000000
21/09/2023,Ivory250,1000,1500,1500000
22/09/2023,Ivory250,1000,1700,1700000
22/09/2023,KertasStikerA3,5,15000,75000
22/09/2023,Greaseproof40gram,500,300,150000
22/09/2023,CraftLaminasi290,1500,800,1200000
23/09/2023,CraftLaminasi290,1500,875,1312500
24/09/2023,Dupleks310,1000,2150,2150000
25/09/2023,Ivory300,1000,2700,2700000
25/09/2023,GreaseProof,1000,300,300000
25/09/2023,CraftLaminasi290,1000,1400,1400000
26/09/2023,FoodpakMatte245,1000,600,600000
26/09/2023,FoodpakMatte245,1000,1100,1100000
26/09/2023,Dupleks310,1000,2750,2750000
27/09/2023,Ivory250,1000,2000,2000000
27/09/2023,GreaseProof,1000,400,400000
28/09/2023,Dupleks350,1000,2500,2500000
28/09/2023,Dupleks400,1000,2500,2500000
29/09/2023,Ivory250,2000,1400,2800000
30/09/2023,Dupleks350,2000,1800,3600000
30/09/2023,Dupleks310,1000,1900,1900000
30/09/2023,Ivory245Matte,1000,1800,1800000
1/10/2023,Dupleks310,2000,1300,2600000
1/10/2023,CraftLaminasi,1000,1500,1500000
1/10/2023,Ivory230,2000,945,1890000
2/10/2023,Foodpak260Matte,1000,2300,2300000
3/10/2023,Ivory230,1000,1700,1700000
4/10/2023,GreaseProof,1000,1000,1000000
5/10/2023,Dupleks350,2000,1975,3950000
5/10/2023,Ivory350,10000,900,9000000
5/10/2023,Ivory350,4000,900,3600000
5/10/2023,GreaseProof,1000,400,400000
6/10/2023,Foodpakmatte245,1000,1600,1600000
7/10/2023,Ivory300,1000,1550,1550000
8/10/2023,Dupleks310P,3000,1450,4350000
8/10/2023,Dupleks350,2000,1800,3600000
8/10/2023,CraftLaminasi290,3000,800,2400000
8/10/2023,CraftLaminasi290,1500,875,1312500
8/10/2023,Dupleks310,1000,1850,1850000
8/10/2023,CraftLaminasi290,2000,1000,2000000
8/10/2023,HVS,10000,275,2750000
9/10/2023,GreaseProof,1000,450,450000
9/10/2023,Ivory230,1000,1000,1000000
9/10/2023,CraftFoodpak290,1000,850,850000
9/10/2023,Ivory250,1000,1600,1600000
9/10/2023,CraftLaminasi290,4000,1500,6000000
10/10/2023,Ivory300,1000,1500,1500000
11/10/2023,Ivory230,1000,1800,1800000
12/10/2023,Ivory250,1000,1700,1700000
12/10/2023,FoodpakMatte245,1000,1500,1500000
12/10/2023,FoodpakMatte245,4000,1500,6000000
12/10/2023,Dupleks350,2500,1800,4500000
13/10/2023,GreaseProof32gram,1000,400,400000
14/10/2023,Ivory230,1000,1600,1600000
14/10/2023,Ivory230,1000,1600,1600000
14/10/2023,Dupleks310,1000,1700,1700000
14/10/2023,Ivory270,1000,1900,1900000
14/10/2023,FoodpakMatte245,500,1500,750000
14/10/2023,FoodpakMatte245,500,1300,650000
14/10/2023,BOWL800ML,1000,2800,2800000
14/10/2023,CraftLaminasi290,2000,900,1800000
15/10/2023,Craft310,3000,1400,4200000
16/10/2023,Dupleks350,2000,1500,3000000
17/10/2023,Unbleached,1000,1000,1000000
17/10/2023,Foodpak260Matte,3000,1200,3600000
17/10/2023,FoodpakMatte295,1000,1900,1900000
18/10/2023,FoodpakMatte245,2000,1000,2000000
18/10/2023,Dupleks310,1000,1800,1800000
19/10/2023,Ivory250,1000,700,700000
19/10/2023,Dupleks270,1000,1900,1900000
20/10/2023,Ivory230,1000,950,950000
20/10/2023,CraftLaminasi,1000,900,900000
20/10/2023,CraftLaminasi,1000,900,900000
20/10/2023,HVS,20000,250,5000000
20/10/2023,FoodpakMatte245,1000,2400,2400000
21/10/2023,Ivory300,1000,3000,3000000
21/10/2023,CraftLaminasi,1000,900,900000
21/10/2023,Dupleks310,1000,1450,1450000
23/10/2023,CraftLaminasi290,1000,1400,1400000
23/10/2023,Ivory250,1000,1550,1550000
23/10/2023,CraftLaminasi,1000,1700,1700000
23/10/2023,Dupleks310,1000,1700,1700000
24/10/2023,FoodpakMatte245,1000,1700,1700000
24/10/2023,Dupleks310,1000,1700,1700000
24/10/2023,CraftLaminasi8,1000,1200,1200000
25/10/2023,Unbleaching,1000,400,400000
25/10/2023,Dupleks310,1000,1700,1700000
25/10/2023,Ivory350,10000,900,9000000
25/10/2023,Ivory350,4000,900,3600000
25/10/2023,GreaseProof,1000,300,300000
26/10/2023,Ivory270,2000,1800,3600000
26/10/2023,Ivory270,1000,2100,2100000
27/10/2023,GreaseProof,1000,300,300000
28/10/2023,CraftLaminasi290,1500,800,1200000
28/10/2023,CraftLaminasi290,1000,875,875000
28/10/2023,CraftLaminasi290,1000,850,850000
28/10/2023,Dupleks310,1000,1700,1700000
29/10/2023,Ivory230,3500,800,2800000
29/10/2023,Dupleks270,2000,1400,2800000
30/10/2023,Dupleks350,1000,3000,3000000
30/10/2023,Dupleks350,3000,250,750000
30/10/2023,FoodpakMatte245,4000,1500,6000000
30/10/2023,Ivory230,1000,1350,1350000
31/10/2023,FoodpakMatte245,2000,1000,2000000
1/11/2023,Bowl650mlCIS,5000,1700,8500000
2/11/2023,Dupleks310P,1000,2250,2250000
2/11/2023,Dupleks350P,1000,2250,2250000
3/11/2023,FoodpakMatte245,1000,1600,1600000
3/11/2023,FoodpakMatte245,1000,1600,1600000
3/11/2023,Dupleks310,2000,1600,3200000
3/11/2023,Kinstruk150gsm,500,500,250000
3/11/2023,FoodpakMatte245,1000,1500,1500000
4/11/2023,Dupleks270,1000,2000,2000000
6/11/2023,Dupleks270,4000,1400,5600000
6/11/2023,GreaseProof,3500,250,875000
7/11/2023,Dupleks310Eplex,2000,1800,3600000
7/11/2023,Ivory270,1000,2500,2500000
7/11/2023,Ivory270,1000,2100,2100000
7/11/2023,Ivory270,1000,2100,2100000
7/11/2023,Ivory270,1000,2100,2100000
7/11/2023,Ivory250,1000,1500,1500000
7/11/2023,FoodpakMatte245,1000,1500,1500000
8/11/2023,Ivory230,3500,1100,3850000
8/11/2023,Foodpak260Glossy,5000,1450,7250000
9/11/2023,Dupleks350,2000,1975,3950000
9/11/2023,CraftLaminasi290,2000,1600,3200000
9/11/2023,Dupleks310,1000,1500,1500000
10/11/2023,Ivory230,1000,1400,1400000
10/11/2023,Ivory230,1000,1600,1600000
11/11/2023,Dupleks310,1000,1900,1900000
11/11/2023,Dupleks310,1000,1900,1900000
11/11/2023,Dupleks350,1000,1700,1700000
11/11/2023,Dupleks350,3500,2000,7000000
11/11/2023,Dupleks350,3500,1900,6650000
11/11/2023,Dupleks350,3000,1600,4800000
12/11/2023,Foodpak260Matte,3000,1200,3600000
13/11/2023,Dupleks350,2000,1600,3200000
14/11/2023,FoodpakGlossy,500,2650,1325000
14/11/2023,FoodpakGlossy,500,2650,1325000
14/11/2023,FoodpakGlossy,500,2650,1325000
14/11/2023,FoodpakGlossy,500,2650,1325000
14/11/2023,Dupleks270Laminating,1000,2000,2000000
14/11/2023,Ivory230,1000,1300,1300000
14/11/2023,Ivory230,1000,900,900000
15/11/2023,CraftLaminasi290,2000,800,1600000
15/11/2023,CraftLaminasi290,1500,875,1312500
15/11/2023,FoodpakMatte,1000,2200,2200000
15/11/2023,GreaseProof,1000,300,300000
